LabelCode,FullLabel
L0,Character | A woman and a girl | Central characters of the film
L1,Character | Boy and Girl | Important characters in the narrative
L2,Character | Girl | Central character of the narrative
L3,"Character | Man, Woman | Important characters in the narrative"
L4,Character | Woman placed between two male characters | Indicates the woman’s central position in the story and the influence of the two men on her life
L5,Character | Woman | Central Character
L6,Character | Woman | Central character of the narrative
L7,Character | Woman – Pratima Barua Pandey | Central figure
L8,"Character | Woman, Man | Central Characters"
L9,Color Transition | From dark earthy tones to bright horizon (transition from first to second part of the frame) | The shift in colors from the ground (where Pratima Pandey stands) to the bright sky signifies evolution of identity and culture.
L10,Color | Black | Secrecy
L11,"Color | Blue | River, water, and flowing motion"
L12,Color | Brown | Rural environment
L13,"Color | Dark smoky shades | Horror, danger, supernatural feeling"
L14,"Color | Golden | Aspiration, hope"
L15,"Color | Green | Vitality, positivity, rural simplicity"
L16,Color | Predominantly blue shades | Expresses silence or constraints
L17,"Color | Red | Danger, conspiracy, horror, mystery"
L18,"Color | Red | Fear, danger, courage"
L19,Color | Red | Horror
L20,"Color | Red | Love, danger"
L21,Color | Yellow and golden hues | Represent Pratima Pandey’s talent and the radiant aura of her personality.
L22,Costume | Colorful floral attire | Enthusiasm of adolescence
L23,Costume | Disordered attire and painted face | Suggests the lower social standing of the young man compared to the other characters
L24,Costume | Elegant attire | Suggests the dignified life of the elderly man and woman
L25,"Light | Natural sunlight | Hope, realistic tone of the film"
L26,"Metaphor | Footprints on sand | By resisting conventional norms, Pratima dedicated her life to folk music, leaving behind a timeless legacy of identity and work."
L27,Object | AIDS ribbon surrounding the woman and girl | The impact of AIDS on their lives or an AIDS-centric narrative
L28,Object | Attire (Mekhela–chador) | Story of Assamese women in society
L29,Object | Boat moving on the river | Flowing course of life
L30,Object | Bulbul bird | Free life and freedom
L31,Object | Clothing | Light-colored clothes represent the widow; school uniform represents the young girl
L32,Object | Food | Central characters associated with or connected through food
L33,Object | Laurel icons | Formal recognition of the film
L34,Object | Male character represented over female character | Physical and psychological attraction of the male character towards the female character
L35,Object | Paddy fields | Rural environment
L36,Object | River and bridge | Importance of maintaining the flow of life and connections
L37,"Object | River | Dynamism, river-centric rural society"
L38,Object | Silhouetted Pratima Pandey contrasted with a group of people | Highlights the individuality of Pratima Pandey and her influence on a large community.
L39,"Object | Sun in the vast sky | Symbolizes Pratima Pandey’s radiant personality and lifelong work, eternally shining in society as vast as the sky."
L40,"Object | Trees, river, and bridge | Suggests the contrast between the simplicity of the natural environment and the complexity of the human-made environment, reflecting the human mind"
L41,"Object | Water, paddy fields | Rural environment"
L42,Shot | Long Shot | Captures the central characters along with the AIDS symbol and background
L43,Symbol | Laurel icons | Formal recognition of the film
L44,Visual Element | A character sitting beside a car | Suggests the direction or indication of a journey
L45,Visual Element | Group of people | Indicates the central character’s relationship with others
L46,Visual Element | Mud wall | Symbolizes barriers or limitations in the lives and mental states of the characters
